,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_checkin_type,previous_delay_at_checkout_in_minutes,delay_status
1320,542244,241021,connect,ended,80.0,542010.0,60.0,connect,-13.0,On time
1321,542957,276218,mobile,ended,164.0,568490.0,120.0,mobile,105.0,Late
1322,543815,385523,connect,ended,-6.0,541049.0,150.0,connect,82.0,Late
1323,546300,397728,mobile,ended,12.0,557231.0,570.0,mobile,64.0,Late
1324,546779,408267,mobile,ended,-11.0,549703.0,60.0,mobile,-51.0,On time
1325,547520,312078,connect,canceled,,547273.0,60.0,connect,32.0,Late
1326,541398,298117,connect,ended,-197.0,538630.0,150.0,connect,2.0,Late
1327,542252,353425,connect,ended,-153.0,547277.0,210.0,connect,-42.0,On time
1328,543394,305525,connect,ended,-12.0,537439.0,720.0,connect,-181.0,On time
1329,543390,223615,mobile,ended,-45.0,532833.0,0.0,mobile,22.0,Late
1330,543433,317572,connect,canceled,,535647.0,660.0,connect,-89.0,On time
1331,543717,402078,mobile,ended,-7.0,537304.0,240.0,mobile,-5.0,On time
1332,543760,307595,mobile,ended,,542300.0,480.0,mobile,,On time
1333,544699,384193,connect,canceled,,529134.0,0.0,connect,22.0,Late
1334,544742,365926,connect,ended,-36.0,551678.0,570.0,connect,-202.0,On time
1335,544783,345080,connect,canceled,,549248.0,570.0,connect,,On time
1336,545023,334190,connect,canceled,,547969.0,270.0,connect,-52.0,On time
1337,545047,380480,mobile,ended,7.0,544328.0,690.0,mobile,20.0,Late
1338,546242,368604,connect,ended,2.0,555708.0,540.0,connect,-95.0,On time
1339,547497,404130,connect,ended,3.0,541826.0,90.0,connect,97.0,Late
1340,568275,341630,mobile,ended,-42.0,559873.0,480.0,mobile,79.0,Late
1341,568820,264513,mobile,ended,-46.0,566587.0,120.0,mobile,39.0,Late
1342,569272,366164,connect,ended,7.0,571324.0,120.0,connect,-294.0,On time
1343,569353,414801,mobile,canceled,,560812.0,510.0,mobile,,On time
1344,571038,341861,connect,ended,-152.0,574571.0,540.0,connect,-54.0,On time
1345,572076,367632,connect,ended,50.0,570241.0,180.0,connect,-244.0,On time
1346,572871,381435,mobile,ended,-20.0,571546.0,60.0,mobile,23.0,Late
1347,551273,398247,mobile,ended,-6.0,550197.0,630.0,mobile,-3.0,On time
1348,551530,412295,mobile,ended,103.0,549505.0,30.0,mobile,46.0,Late
1349,551912,225795,connect,ended,-23.0,567177.0,0.0,connect,-422.0,On time
1350,552885,377591,connect,canceled,,551334.0,420.0,connect,32.0,Late
1351,553129,358480,mobile,ended,170.0,551688.0,450.0,mobile,541.0,Late
1352,553227,276222,mobile,ended,20.0,531664.0,120.0,mobile,4.0,Late
1353,553540,393083,mobile,ended,23.0,553429.0,390.0,mobile,72.0,Late
1354,554359,350456,mobile,ended,1401.0,547316.0,540.0,mobile,16.0,Late
1355,554885,402767,mobile,ended,-13.0,556984.0,660.0,mobile,38.0,Late
1356,555024,382884,mobile,ended,63.0,545294.0,660.0,mobile,-117.0,On time
1357,555178,382323,mobile,ended,62.0,552721.0,240.0,mobile,-93.0,On time
1358,549116,356203,mobile,ended,-110.0,538281.0,150.0,mobile,12.0,Late
1359,551249,270091,mobile,ended,74.0,546357.0,60.0,mobile,-4.0,On time
1360,552624,216576,connect,canceled,,523194.0,630.0,connect,-163.0,On time
1361,543850,262344,connect,ended,51.0,541998.0,210.0,connect,-147.0,On time
1362,548490,342719,mobile,ended,,546060.0,60.0,mobile,59.0,Late
1363,548521,310219,connect,ended,,545345.0,120.0,connect,-55.0,On time
1364,548726,397569,connect,ended,-111.0,546439.0,60.0,connect,-95.0,On time
1365,550717,377119,connect,ended,59.0,545344.0,30.0,mobile,-8.0,On time
1366,543690,387614,mobile,ended,235.0,541885.0,300.0,mobile,38.0,Late
1367,544908,265664,connect,ended,-961.0,540077.0,690.0,connect,-20.0,On time
1368,546332,214635,connect,ended,31.0,547177.0,0.0,connect,-548.0,On time
1369,546707,335276,connect,canceled,,545768.0,0.0,connect,-27.0,On time
1370,546889,303652,mobile,ended,79.0,546472.0,390.0,mobile,310.0,Late
1371,546954,350705,mobile,ended,-47.0,548000.0,90.0,mobile,4.0,Late
1372,549212,344576,mobile,ended,17.0,549196.0,120.0,mobile,-32.0,On time
1373,549277,387223,mobile,ended,57.0,546350.0,30.0,mobile,-12.0,On time
1374,549461,305876,mobile,ended,17.0,523875.0,0.0,mobile,,On time
1375,550255,350873,connect,canceled,,559401.0,240.0,connect,-84.0,On time
1376,550683,411846,mobile,canceled,,548701.0,180.0,mobile,,On time
1377,551169,405005,connect,ended,58.0,544486.0,0.0,connect,10.0,Late
1378,552606,336902,mobile,ended,-90.0,533303.0,600.0,mobile,-340.0,On time
1379,553595,388206,mobile,ended,-24.0,513941.0,570.0,mobile,64.0,Late
1380,553889,356758,mobile,ended,23.0,543278.0,540.0,mobile,-46.0,On time
1381,554498,248889,connect,ended,-18.0,559060.0,720.0,connect,-50.0,On time
1382,555857,401088,mobile,ended,36.0,552180.0,60.0,mobile,13.0,Late
1383,554425,364411,mobile,ended,105.0,557974.0,600.0,mobile,596.0,Late
1384,555076,369845,mobile,ended,-22.0,553278.0,690.0,mobile,-32.0,On time
1385,555388,362255,mobile,ended,36.0,531363.0,660.0,mobile,-37.0,On time
1386,555950,364160,connect,ended,27.0,550502.0,120.0,connect,-79.0,On time
1387,556933,291932,connect,ended,-23.0,559594.0,60.0,connect,-408.0,On time
1388,556998,222819,mobile,ended,42.0,557193.0,660.0,mobile,-35.0,On time
1389,558185,401869,connect,ended,-9.0,556469.0,510.0,connect,231.0,Late
1390,559898,362187,connect,ended,-8.0,556725.0,240.0,connect,-633.0,On time
1391,559935,409750,mobile,ended,60.0,562535.0,660.0,mobile,-42.0,On time
1392,563790,398586,connect,ended,-149.0,565280.0,600.0,connect,-137.0,On time
1393,564244,377594,mobile,canceled,,562153.0,180.0,mobile,50.0,Late
1394,564703,385629,connect,ended,-28.0,564926.0,180.0,connect,-484.0,On time
1395,564980,341037,connect,canceled,,562653.0,510.0,connect,158.0,Late
1396,565006,414230,mobile,ended,26.0,567764.0,720.0,mobile,-33.0,On time
1397,565007,362507,connect,ended,35.0,567477.0,720.0,connect,0.0,On time
